data_center_id,data_center_name,state,city,latitude,longitude,year_operational,capacity_mw,capacity_sqft,dc_type
project-spade-dc1,Project Spade DC1,Missouri,New Florence,38.884902,-91.435144,2018.0,,,general
xo-st-louis2,Verizon St. Louis #2,Missouri,Maryland Heights,38.6931043,-90.4203559,2018.0,,,general
h5-st-louis,H5 Data Centers St. Louis,Missouri,St. Louis,38.6325981,-90.1956932,2018.0,,36000.0,general
210-n-tucker,Netrality - 210 N Tucker St St. Louis Data Center,Missouri,St. Louis,38.629055,-90.197717,1990.0,20.0,442837.0,general
tierpoint-st-louis-locust,TierPoint St Louis - Locust,Missouri,St. Louis,38.633537,-90.2126697,2018.0,13.0,67600.0,general
festus-data-center,Festus Data Center,Missouri,Festus,38.19561669525886,-90.42454487421044,2018.0,,,general
cogent-data-center-st-louis,Cogent Data Center - St. Louis,Missouri,St Louis,38.6212237,-90.2120018,2018.0,,6600.0,general
amazon-aws-project-green-campus,Amazon AWS - Project Green Campus,Missouri,New Florence,38.90321,-91.424352,2018.0,,,ai
amazon-aws-project-green-dc1,Amazon AWS - Project Green DC1,Missouri,New Florence,38.904246,-91.430667,2018.0,,,ai
amazon-aws-project-green-dc6,Amazon AWS - Project Green DC6,Missouri,New Florence,38.903687,-91.421426,2018.0,,,ai
amazon-aws-project-green-dc10,Amazon AWS - Project Green DC10,Missouri,New Florence,38.901008,-91.419435,2018.0,,,ai
project-spade-campus,Project Spade Campus,Missouri,New Florence,38.888278,-91.431424,2018.0,,,general
amazon-aws-project-green-dc8,Amazon AWS - Project Green DC8,Missouri,New Florence,38.903661,-91.418649,2018.0,,,ai
tierpoint-st-louis-millpark1,TierPoint St. Louis - Millpark,Missouri,Maryland Heights,38.700045,-90.411022,2018.0,,14500.0,general
amazon-aws-project-green-dc1,Amazon AWS - Project Green DC1,Missouri,New Florence,38.904246,-91.430667,2018.0,,,ai
amazon-aws-project-green-dc7,Amazon AWS - Project Green DC7,Missouri,New Florence,38.903662,-91.419747,2018.0,,,ai
contegix,Contegix St Louis,Missouri,Saint Louis,38.629055,-90.197717,2018.0,,,ai
