data_center_id,data_center_name,state,city,latitude,longitude,year_operational,capacity_mw,capacity_sqft
project-spade-dc1,Project Spade DC1,Missouri,New Florence,38.884902,-91.435144,,,
xo-st-louis2,Verizon St. Louis #2,Missouri,Maryland Heights,38.6931043,-90.4203559,,,
h5-st-louis,H5 Data Centers St. Louis,Missouri,St. Louis,38.6325981,-90.1956932,,,36000
210-n-tucker,Netrality - 210 N Tucker St St. Louis Data Center,Missouri,St. Louis,38.629055,-90.197717,1990,20,442837
tierpoint-st-louis-locust,TierPoint St Louis - Locust,Missouri,St. Louis,38.633537,-90.21266969999999,,13,67600
festus-data-center,Festus Data Center,Missouri,Festus,38.19561669525886,-90.42454487421045,,,
cogent-data-center-st-louis,Cogent Data Center - St. Louis,Missouri,St Louis,38.6212237,-90.2120018,,,6600
amazon-aws-project-green-campus,Amazon AWS - Project Green Campus,Missouri,New Florence,38.90321,-91.424352,,,
amazon-aws-project-green-dc1,Amazon AWS - Project Green DC1,Missouri,New Florence,38.904246,-91.430667,,,
amazon-aws-project-green-dc6,Amazon AWS - Project Green DC6,Missouri,New Florence,38.903687,-91.421426,,,
amazon-aws-project-green-dc10,Amazon AWS - Project Green DC10,Missouri,New Florence,38.901008,-91.419435,,,
project-spade-campus,Project Spade Campus,Missouri,New Florence,38.888278,-91.431424,,,
amazon-aws-project-green-dc8,Amazon AWS - Project Green DC8,Missouri,New Florence,38.903661,-91.418649,,,
tierpoint-st-louis-millpark1,TierPoint St. Louis - Millpark,Missouri,Maryland Heights,38.700045,-90.411022,,,14500
amazon-aws-project-green-dc1,Amazon AWS - Project Green DC1,Missouri,New Florence,38.904246,-91.430667,,,
amazon-aws-project-green-dc7,Amazon AWS - Project Green DC7,Missouri,New Florence,38.903662,-91.419747,,,
contegix,Contegix St Louis,Missouri,Saint Louis,38.629055,-90.197717,,,
amazon-aws-project-green-dc11,Amazon AWS - Project Green DC11,Missouri,New Florence,38.900228,-91.42444,,,
crusoe-warrenton-dc1,Crusoe Warrenton DC1,Missouri,Warrenton,38.826045,-91.181862,,,
project-spade-dc2,Project Spade DC2,Missouri,New Florence,38.884902,-91.431214,,,
