state,state_code,year,total_consumption_mwh,prev_year_consumption,yoy_change_mwh,yoy_change_pct
Alabama,AL,1990,56016562.72692575,,,
Alabama,AL,1991,58173797.404580206,56016562.72692575,2157234.6776544526,3.851065778831739
Alabama,AL,1992,58538966.698650554,58173797.404580206,365169.29407034814,0.6277212600214357
Alabama,AL,1993,59103068.89039948,58538966.698650554,564102.1917489246,0.963635375822116
Alabama,AL,1994,58931638.30745667,59103068.89039948,-171430.58294280618,-0.2900536066252438
Alabama,AL,1995,59815554.36658156,58931638.30745667,883916.059124887,1.4999007061594694
Alabama,AL,1996,60471692.39085361,59815554.36658156,656138.0242720544,1.0969354563712497
Alabama,AL,1997,63398458.10539377,60471692.39085361,2926765.7145401537,4.839893839291372
Alabama,AL,1998,63677022.46547602,63398458.10539377,278564.3600822538,0.4393866482039164
Alabama,AL,1999,64907579.92794984,63677022.46547602,1230557.4624738172,1.932498434801961
Alabama,AL,2000,64084446.35849047,64907579.92794984,-823133.5694593713,-1.2681624709673112
Alabama,AL,2001,67563986.82653785,64084446.35849047,3479540.4680473804,5.429617739978151
Alabama,AL,2002,68207317.70405568,67563986.82653785,643330.8775178343,0.952180159482753
Alabama,AL,2003,67535761.34229127,68207317.70405568,-671556.3617644161,-0.984581104153997
Alabama,AL,2004,68464155.51790431,67535761.34229127,928394.1756130457,1.3746704814767225
Alabama,AL,2005,69495565.01713373,68464155.51790431,1031409.4992294163,1.5064956128169704
Alabama,AL,2006,70883317.62501928,69495565.01713373,1387752.6078855544,1.9968937694706306
Alabama,AL,2007,72586185.35394503,70883317.62501928,1702867.7289257497,2.402353312431158
Alabama,AL,2008,71199681.55685598,72586185.35394503,-1386503.7970890552,-1.910148315865037
Alabama,AL,2009,71859798.06823364,71199681.55685598,660116.5113776624,0.9271340783322624
Alabama,AL,2010,76165973.90057975,71859798.06823364,4306175.832346112,5.992468595941826
Alabama,AL,2011,75854275.667924,76165973.90057975,-311698.2326557487,-0.40923553746271496
Alabama,AL,2012,77469084.30760516,75854275.667924,1614808.6396811604,2.128830083027217
Alabama,AL,2013,78866508.88865235,77469084.30760516,1397424.5810471922,1.8038480686030347
Alabama,AL,2014,80338293.93918346,78866508.88865235,1471785.0505311042,1.866172436526946
Alabama,AL,2015,82618714.34383264,80338293.93918346,2280420.404649183,2.83852231959951
Alabama,AL,2016,81916183.82033172,82618714.34383264,-702530.5235009193,-0.8503285594317194
Alabama,AL,2017,84203811.92564678,81916183.82033172,2287628.1053150594,2.7926448701914097
Alabama,AL,2018,85733989.45123096,84203811.92564678,1530177.5255841762,1.8172307055829557
Alabama,AL,2019,85126606.3574132,85733989.45123096,-607383.0938177556,-0.7084507529691713
Alabama,AL,2020,86610986.7211192,85126606.3574132,1484380.3637059927,1.7437325734255895
Alabama,AL,2021,88142848.58910994,86610986.7211192,1531861.867990747,1.768669225445065
Alabama,AL,2022,89082506.57638904,88142848.58910994,939657.9872791022,1.0660626498009471
Alabama,AL,2023,93671949.44502933,89082506.57638904,4589442.868640289,5.151901360908385
Alabama,AL,2024,95139593.59003879,93671949.44502933,1467644.145009458,1.5667915034379996
Alaska,AL,1990,3885926.828272792,,,
Alaska,AL,1991,3865703.010606293,3885926.828272792,-20223.817666498944,-0.520437428707014
Alaska,AL,1992,3890953.734266212,3865703.010606293,25250.72365991911,0.6531987478251416
Alaska,AL,1993,4043494.252677281,3890953.734266212,152540.5184110687,3.920388902795218
Alaska,AL,1994,4064370.100555207,4043494.252677281,20875.847877926193,0.5162823680064307
Alaska,AL,1995,4072716.5634682267,4064370.100555207,8346.462913019583,0.20535686235560652
Alaska,AL,1996,4196453.765859792,4072716.5634682267,123737.20239156531,3.038198226252055
Alaska,AL,1997,4180878.130403019,4196453.765859792,-15575.635456772987,-0.3711618505960536
Alaska,AL,1998,4394923.923386819,4180878.130403019,214045.7929837997,5.119637222316418
Alaska,AL,1999,4346639.226242112,4394923.923386819,-48284.69714470673,-1.0986469387505928
Alaska,AL,2000,4483782.826567031,4346639.226242112,137143.60032491945,3.1551640977456277
Alaska,AL,2001,4487589.821281004,4483782.826567031,3806.9947139723226,0.08490586768420973
Alaska,AL,2002,4593153.5825481545,4487589.821281004,105563.76126715075,2.352348709914336
Alaska,AL,2003,4667015.203856892,4593153.5825481545,73861.62130873743,1.6080808094329178
Alaska,AL,2004,4668583.56289224,4667015.203856892,1568.3590353475884,0.03360518375966448
Alaska,AL,2005,4889252.542546868,4668583.56289224,220668.97965462878,4.726679445315998
