data_center_id,data_center_name,state,city,latitude,longitude,year_operational,capacity_mw,capacity_sqft,is_planned,dc_category,capacity_mw_est,estimated_energy_mwh
210-n-tucker,Netrality - 210 N Tucker St St. Louis Data Center,Missouri,St. Louis,38.629055,-90.197717,1990.0,20.0,442837.0,False,decent,20.0,147000.0
tierpoint-stlouis-olive,TierPoint St. Louis-Olive,Missouri,St. Louis,38.6297652,-90.1964459,2011.0,,11000.0,False,small,2.0,14000.0
bluebird-underground,Bluebird Underground,Missouri,Springfield,37.23119970779098,-93.21257829666138,2003.0,6.0,,False,small,6.0,42000.0
patmos-kansas-city,Patmos Kansas City,Missouri,Kansas City,39.0947391,-94.5793757,2006.0,100.0,400000.0,False,big_ai,100.0,705600.0
meta-kansas-city-building-1,Meta Kansas City - Building 1,Missouri,Kansas City,39.32270498045392,-94.59795399688952,2025.0,,,False,big_ai,50.0,352800.0
iron-mountain-kcm-1,Iron Mountain Data Centers KCM-1,Missouri,Kansas City,39.0110286,-94.5012027,2006.0,3.9,,False,small,3.9,27300.0
11155-n-airworld-dr,Lambda Kansas City,Missouri,Kansas City,39.2956805,-94.6740566,2026.0,100.0,,False,big_ai,100.0,705600.0
aaim-missouri-1,AAIM Missouri 1,Missouri,Mexico,39.16575620561504,-91.87113858465726,2024.0,15.0,,False,decent,15.0,110250.0
core-scientific-marble,Core Scientific Marble,North Carolina,Marble,35.18557054286533,-83.91614842883564,2018.0,105.0,,False,crypto,105.0,873810.0
immedion-technology,"DartPoints Asheville, NC - AVL01",North Carolina,Asheville,35.4888818,-82.5582222,2011.0,1.5,11200.0,False,small,1.5,10500.0
solidspace,SolidSpace,North Carolina,Winston-Salem,36.1812299,-80.2823575,1993.0,1.0,13000.0,False,small,1.0,7000.0
datachambers,Segra Winston-Salem,North Carolina,Winston-Salem,36.0559097,-80.2274853,2002.0,3.5,29000.0,False,small,3.5,24500.0
cisco-rtp-data-center,Cisco RTP Data Center,North Carolina,Morrisville,35.85535253382376,-78.86811183999367,2011.0,2.8,19200.0,False,small,2.8,19600.0
