state,year,consumption_million_mwh,consumption_mwh,prev_consumption,yoy_change_mwh,yoy_change_pct
Alabama,1990,61.56301285557088,61563012.85557088,,,
Alabama,1991,61.71275338114403,61712753.38114403,61563012.85557088,149740.52557314932,0.2432313147578501
Alabama,1992,63.19111691706678,63191116.91706678,61712753.38114403,1478363.5359227508,2.3955559506350856
Alabama,1993,64.78099462276998,64780994.62276998,63191116.91706678,1589877.705703199,2.5159829154306363
Alabama,1994,63.868990182480545,63868990.182480544,64780994.62276998,-912004.4402894378,-1.4078271653595078
Alabama,1995,64.63543403832003,64635434.03832003,63868990.182480544,766443.8558394834,1.200025010023912
Alabama,1996,67.19652684705915,67196526.84705915,64635434.03832003,2561092.8087391183,3.9623665360098586
Alabama,1997,67.1939974765438,67193997.4765438,67196526.84705915,-2529.370515346527,-0.003764138764349284
Alabama,1998,66.75303037400032,66753030.37400032,67193997.4765438,-440967.1025434807,-0.6562596647080184
Alabama,1999,68.58684530564521,68586845.30564521,66753030.37400032,1833814.9316448942,2.747163569010266
Alabama,2000,68.37097054939159,68370970.54939158,68586845.30564521,-215874.75625362992,-0.31474658922074933
Alabama,2001,69.18900577723574,69189005.77723573,68370970.54939158,818035.2278441489,1.1964657240797767
Alabama,2002,70.76778412477955,70767784.12477955,69189005.77723573,1578778.3475438207,2.2818341292935065
Alabama,2003,69.31009033232746,69310090.33232746,70767784.12477955,-1457693.792452097,-2.0598268131185997
Alabama,2004,70.3458483249718,70345848.3249718,69310090.33232746,1035757.9926443398,1.4943826904251545
Alabama,2005,72.46448912204018,72464489.12204018,70345848.3249718,2118640.7970683873,3.0117495879515883
Alabama,2006,72.83424448445874,72834244.48445873,72464489.12204018,369755.3624185473,0.510257323136341
Alabama,2007,75.1981400039123,75198140.0039123,72834244.48445873,2363895.5194535702,3.2455825363273663
Alabama,2008,72.47047630811203,72470476.30811203,75198140.0039123,-2727663.6958002746,-3.6273020790918014
Alabama,2009,72.77770273055732,72777702.73055732,72470476.30811203,307226.42244529724,0.42393321818268176
Alabama,2010,79.27764033458544,79277640.33458544,72777702.73055732,6499937.604028121,8.931221184725551
Alabama,2011,78.23724028751917,78237240.28751917,79277640.33458544,-1040400.0470662713,-1.3123499169189945
Alabama,2012,79.52561143142621,79525611.43142621,78237240.28751917,1288371.1439070404,1.6467492196456837
Alabama,2013,78.68026743615577,78680267.43615577,79525611.43142621,-845343.995270446,-1.062983333362201
Alabama,2014,80.69887174521409,80698871.74521409,78680267.43615577,2018604.3090583235,2.5655788609212564
Alabama,2015,82.476622086393,82476622.086393,80698871.74521409,1777750.341178909,2.2029432416251096
Alabama,2016,81.88905301813533,81889053.01813532,82476622.086393,-587569.0682576746,-0.7124068049758452
Alabama,2017,84.80285591598499,84802855.91598499,81889053.01813532,2913802.897849664,3.5582324992870134
Alabama,2018,84.57068798676403,84570687.98676403,84802855.91598499,-232167.92922095954,-0.27377371518120874
Alabama,2019,85.98576036958598,85985760.36958598,84570687.98676403,1415072.3828219473,1.6732421321243327
Alabama,2020,83.14671612611257,83146716.12611257,85985760.36958598,-2839044.2434734106,-3.30176093258996
Alabama,2021,90.90627674028991,90906276.74028991,83146716.12611257,7759560.614177346,9.332371710757707
Alabama,2022,89.49206351362933,89492063.51362933,90906276.74028991,-1414213.2266605794,-1.555682706817753
Alabama,2023,89.14712764148898,89147127.64148898,89492063.51362933,-344935.87214034796,-0.385437388073877
Alabama,2024,92.80237618299472,92802376.18299472,89147127.64148898,3655248.541505739,4.100242641810694
Alaska,1990,4.118215490896866,4118215.4908968657,,,
Alaska,1991,4.258678796822262,4258678.796822262,4118215.4908968657,140463.30592539627,3.41078086457312
Alaska,1992,4.170032130763427,4170032.130763427,4258678.796822262,-88646.66605883511,-2.081553230193867
Alaska,1993,4.261256758094889,4261256.758094888,4170032.130763427,91224.62733146129,2.187624087077727
Alaska,1994,4.4130461764682005,4413046.176468201,4261256.758094888,151789.4183733128,3.56208102421818
Alaska,1995,4.502178071936243,4502178.071936243,4413046.176468201,89131.89546804223,2.0197362978733944
Alaska,1996,4.51787158439289,4517871.58439289,4502178.071936243,15693.51245664712,0.3485760049001758
Alaska,1997,4.552452545419227,4552452.545419226,4517871.58439289,34580.96102633607,0.7654259396348699
Alaska,1998,4.594243580515972,4594243.580515971,4552452.545419226,41791.03509674501,0.9179894722636049
Alaska,1999,4.566888069937394,4566888.069937394,4594243.580515971,-27355.510578577407,-0.5954301311883241
Alaska,2000,4.675479250548354,4675479.250548353,4566888.069937394,108591.18061095942,2.3777937831624603
Alaska,2001,4.750182600565328,4750182.600565328,4675479.250548353,74703.35001697484,1.5977688278311455
Alaska,2002,4.917388617844805,4917388.617844805,4750182.600565328,167206.01727947686,3.5199913632704845
Alaska,2003,4.923968450731891,4923968.450731891,4917388.617844805,6579.832887086086,0.1338074616109942
Alaska,2004,4.826399565414924,4826399.565414924,4923968.450731891,-97568.88531696703,-1.981509148428125
Alaska,2005,5.041382691563462,5041382.691563462,4826399.565414924,214983.12614853773,4.45431678904222
Alaska,2006,5.047870624989577,5047870.624989577,5041382.691563462,6487.9334261147305,0.12869353157759694
Alaska,2007,5.0859524421030216,5085952.442103022,5047870.624989577,38081.81711344514,0.7544134931850353
Alaska,2008,5.090065606446948,5090065.606446948,5085952.442103022,4113.164343926124,0.08087303982389081
Alaska,2009,5.183251752863069,5183251.752863069,5090065.606446948,93186.14641612116,1.8307454878006673
Alaska,2010,5.3997156365832755,5399715.636583275,5183251.752863069,216463.8837202061,4.176217826977786
Alaska,2011,5.3213879657270144,5321387.9657270145,5399715.636583275,-78327.6708562607,-1.4505888111141962
Alaska,2012,5.4286035453860295,5428603.545386029,5321387.9657270145,107215.57965901494,2.014804790583748
Alaska,2013,5.546771906908746,5546771.906908746,5428603.545386029,118168.36152271647,2.1767727286541696
Alaska,2014,5.6673134615405765,5667313.461540576,5546771.906908746,120541.5546318302,2.17318391047756
Alaska,2015,5.611976899671101,5611976.899671101,5667313.461540576,-55336.56186947506,-0.9764161140017942
Alaska,2016,5.704506155483523,5704506.155483523,5611976.899671101,92529.25581242237,1.6487818368932559
Alaska,2017,5.693012194542801,5693012.194542801,5704506.155483523,-11493.960940722376,-0.20148914958525677
Alaska,2018,5.753430576005659,5753430.576005659,5693012.194542801,60418.38146285806,1.0612726514229815
