state,state_code,year,total_consumption_mwh,prev_year_consumption,yoy_change_mwh,yoy_change_pct,new_dc_count,new_dc_capacity_mw,new_dc_energy_mwh,cumulative_dc_count,cumulative_dc_capacity,cumulative_dc_energy
Alabama,AL,2001,79358258.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,AL,2002,83067078.0,79358258.0,3708820.0,4.673514884865542,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,AL,2003,83844220.0,83067078.0,777142.0,0.9355595727106232,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,AL,2004,86870519.0,83844220.0,3026299.0,3.609430679896599,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,AL,2005,89201620.0,86870519.0,2331101.0,2.68342013704327,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,AL,2006,90677695.0,89201620.0,1476075.0,1.6547625480344417,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,AL,2007,91828464.0,90677695.0,1150769.0,1.2690761493220577,1.0,4.5,35872.2,2.0,9.0,71744.4
Alabama,AL,2008,89707279.01,91828464.0,-2121184.989999994,-2.30994279725728,0.0,0.0,0.0,2.0,9.0,71744.4
Alabama,AL,2009,82844601.98,89707279.01,-6862677.030000001,-7.650078238617619,0.0,0.0,0.0,2.0,9.0,71744.4
Alabama,AL,2010,90862645.0,82844601.98,8018043.019999996,9.678413352671642,0.0,0.0,0.0,2.0,9.0,71744.4
Alabama,AL,2011,88995368.99000001,90862645.0,-1867276.0099999905,-2.0550535481329986,0.0,0.0,0.0,2.0,9.0,71744.4
Alabama,AL,2012,86182548.01,88995368.99000001,-2812820.980000004,-3.1606374712779357,0.0,0.0,0.0,2.0,9.0,71744.4
Alabama,AL,2013,87852107.02,86182548.01,1669559.0099999905,1.9372356104002249,0.0,0.0,0.0,2.0,9.0,71744.4
Alabama,AL,2014,90493727.02,87852107.02,2641620.000000015,3.0068943018050054,0.0,0.0,0.0,2.0,9.0,71744.4
Alabama,AL,2015,88845543.0,90493727.02,-1648184.0200000107,-1.8213240566782551,0.0,0.0,0.0,2.0,9.0,71744.4
Alabama,AL,2016,88225141.0,88845543.0,-620402.0,-0.6982927663574525,0.0,0.0,0.0,2.0,9.0,71744.4
Alabama,AL,2017,86241730.01,88225141.0,-1983410.9899999944,-2.24812447735277,0.0,0.0,0.0,2.0,9.0,71744.4
Alabama,AL,2018,90280456.0,86241730.01,4038725.989999994,4.683029885337053,1.0,4.5,33100.88222745723,3.0,13.5,104845.28222745722
Alabama,AL,2019,88095112.00999999,90280456.0,-2185343.9900000095,-2.4206169162459807,0.0,0.0,0.0,3.0,13.5,104845.28222745722
Alabama,AL,2020,83395605.02,88095112.00999999,-4699506.989999995,-5.334583137219392,0.0,0.0,0.0,3.0,13.5,104845.28222745722
Alabama,AL,2021,85585166.0,83395605.02,2189560.980000004,2.6255112358437858,0.0,0.0,0.0,3.0,13.5,104845.28222745722
Alabama,AL,2022,87027544.99,85585166.0,1442378.9899999946,1.6853142400868797,0.0,0.0,0.0,3.0,13.5,104845.28222745722
Alabama,AL,2023,84880358.99,87027544.99,-2147186.0,-2.4672487317052605,0.0,0.0,0.0,3.0,13.5,104845.28222745722
Alabama,AL,2024,87522932.01,84880358.99,2642573.0200000107,3.11329152167151,1.0,4.0,27701.176484276744,4.0,17.5,132546.45871173398
Alaska,AK,2001,5454080.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,AK,2002,5465489.0,5454080.0,11409.0,0.2091828502698897,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,AK,2003,5563682.0,5465489.0,98193.0,1.7966004505726754,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,AK,2004,5788484.0,5563682.0,224802.0,4.040525680655365,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,AK,2005,5912571.0,5788484.0,124087.0,2.1436873627015296,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,AK,2006,6182291.0,5912571.0,269720.0,4.561805684870423,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,AK,2007,6326610.0,6182291.0,144319.0,2.334393512049174,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,AK,2008,6325943.99,6326610.0,-666.0099999997765,-0.0105271227402949,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,AK,2009,6270170.9799999995,6325943.99,-55773.01000000071,-0.8816551346038823,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,AK,2010,6247038.02,6270170.9799999995,-23132.959999999963,-0.3689366697301764,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,AK,2011,6319539.95,6247038.02,72501.93000000063,1.1605808987857038,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,AK,2012,6416410.9799999995,6319539.95,96871.02999999931,1.5328810446083077,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,AK,2013,6268212.0,6416410.9799999995,-148198.97999999952,-2.3096865282154906,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,AK,2014,6164812.0,6268212.0,-103400.0,-1.6495932173321517,0.0,0.0,0.0,0.0,0.0,0.0
