Name,Company,Address,Postal,City,State,Country
DC BLOX Birmingham,DC BLOX Inc.,433 6th Street South,35233,Birmingham,Alabama,USA
USDC Columbiana,"US Data Centers, Inc.",130 Industrial Pkwy,35051,Columbiana,Alabama,USA
Nebius Birmingham BHM01,Nebius,201-260 Milan Pkwy,35211,Birmingham,Alabama,USA
Lumen Birmingham 2,Lumen,401 6th Ave S,35205,Birmingham,Alabama,USA
Project Marvel,TPA Group,Rock Mountain Lake Rd,35022,Bessemer,Alabama,USA
Lumen Birmingham 1,Lumen,2001 Park Place North,35203,Birmingham,Alabama,USA
Southern Telecom Birmingham,Southern Telecom,600 18th St N,35203,Birmingham,Alabama,USA
"Sparrow Technology Solutions, LLC.","Sparrow Technology Solutions, LLC.",3015 McGehee Rd,36111,Montgomery,Alabama,USA
Meta Montgomery Data Center,Meta,within across from Hyundai’s assembly plant,36105,Montgomery,Alabama,USA
Unmapped Data Centers,,,,,,
AUBix Data Center,AUBix,1571 W Samford Ave,36832,Auburn,Alabama,USA
Core Scientific Auburn,Core Scientific,1571 W Samford Ave,36832,Auburn,Alabama,USA
DC BLOX Huntsville,DC BLOX Inc.,333 Diamond Drive NW,35806,Huntsville,Alabama,USA
Simple Helix Data Center,Simple Helix,165 West Park Loop NW,35806,Huntsville,Alabama,USA
Scipio Technologies Huntsville,Scipio Technologies,2104 West Ferry Way,35801,Huntsville,Alabama,USA
Meta Huntsville Campus,Meta,5400 Prosperity Dr NW,35810,Huntsville,Alabama,USA
Meta Huntsville - Building 4,Meta,5400 Prosperity Dr NW,35810,Huntsville,Alabama,USA
Meta Huntsville - Building 2,Meta,5400 Prosperity Dr NW,35810,Huntsville,Alabama,USA
Meta Huntsville - Building 3,Meta,5400 Prosperity Dr NW,35810,Huntsville,Alabama,USA
Meta Huntsville - Building 5,Meta,5400 Prosperity Dr NW,35810,Huntsville,Alabama,USA
Meta Huntsville - Building 1,Meta,5400 Prosperity Dr NW,35810,Huntsville,Alabama,USA
SEC Data Center,Southern Edge Connect Data Centers,1809 Hillyer Robinson Industrial Pkwy,36207,Anniston,Alabama,USA
"Assurance Technology, LLp","Assurance Technology, LLP",316 Bel Air Blvd,36606,Mobile,Alabama,USA
Uniti Fiber Alabama Data Center,Uniti Fiber,650 Clinic Dr,36688,Mobile,Alabama,USA
Lumen Mobile 1,Lumen,50 N. Lawrence St.,36602,Mobile,Alabama,USA
Google Jackson County Campus,Google,48809 Al Highway 277,35740,Bridgeport,Alabama,USA
Google Jackson County - Building 1,Google,48809 Al Highway 277,35740,Bridgeport,Alabama,USA
Google Jackson County - Building 2,Google,48809 Al Highway 277,35740,Bridgeport,Alabama,USA
Cordova Electric Data Center,Greensparc,Humpback Creek Hydro Facility,99574,Cordova,Alaska,USA
Prudhoe Bay Data Center,"Far North Digital, LLC",within Prudhoe Bay,99734,Prudhoe Bay,Alaska,USA
Greensparc Wrangell,Greensparc,6 Zimovia Hwy,99929,Wrangell,Alaska,USA
Alasconnect Fairbanks Data Center 1,Alasconnect,612 Illinois St,99701,Fairbanks,Alaska,USA
Talkeetna Alaska Teleport,Microcom Communications,21518 S Comsat Rd,99676,Talkeetna,Alaska,USA
GCI Anchorage,GCI Communication,6831 Arctic Blvd,99518,Anchorage,Alaska,USA
Alasconnect Anchorage Data Center 5,Alasconnect,3403 Minnesota Drive,99503,Anchorage,Alaska,USA
2121 S. Price Road (PHX15),Digital Realty,2121 S. Price Road,85286,Chandler,Arizona,USA
120 East Van Buren St (PHX10),Digital Realty,120 East Van Buren Street,85004,Phoenix,Arizona,USA
Flexential Phoenix - Deer Valley Data Center,Flexential,1850 W. Deer Valley Rd,85027,Phoenix,Arizona,USA
