Name,Company,Address,Postal,City,State,Country,Latitude,Longitude,HUC12,HUC12_Name
DC BLOX Birmingham,DC BLOX Inc.,433 6th Street South,35233,Birmingham,Alabama,USA,33.49978457763124,-86.82074571813962,031601120101,Headwaters Valley Creek
USDC Columbiana,"US Data Centers, Inc.",130 Industrial Pkwy,35051,Columbiana,Alabama,USA,33.1812427,-86.6228062,031501070403,Upper Waxahatchee Creek
Nebius Birmingham BHM01,Nebius,201-260 Milan Pkwy,35211,Birmingham,Alabama,USA,33.42749804263087,-86.88342863335211,031502020303,Lower Shades Creek
Lumen Birmingham 2,Lumen,401 6th Ave S,35205,Birmingham,Alabama,USA,33.495892,-86.823344,031601120101,Headwaters Valley Creek
Project Marvel,TPA Group,Rock Mountain Lake Rd,35022,Bessemer,Alabama,USA,33.34365458220975,-87.03864563455572,031601120102,Five Mile Creek-Valley Creek
Lumen Birmingham 1,Lumen,2001 Park Place North,35203,Birmingham,Alabama,USA,33.5194657,-86.8097904,031601120101,Headwaters Valley Creek
Southern Telecom Birmingham,Southern Telecom,600 18th St N,35203,Birmingham,Alabama,USA,33.5180081,-86.8128941,031601120101,Headwaters Valley Creek
"Sparrow Technology Solutions, LLC.","Sparrow Technology Solutions, LLC.",3015 McGehee Rd,36111,Montgomery,Alabama,USA,32.3381325,-86.2585214,031502010309,Baldwin Slough-Catoma Creek
Meta Montgomery Data Center,Meta,within across from Hyundai’s assembly plant,36105,Montgomery,Alabama,USA,32.2834317,-86.347131,031502010310,Caney Branch-Catoma Creek
Unmapped Data Centers,,,,,,,32.357343,-86.272888,031502010104,Galbraith Mill Creek-Coosa River
AUBix Data Center,AUBix,1571 W Samford Ave,36832,Auburn,Alabama,USA,32.60107187686658,-85.51372879987984,031501100202,Upper Chewacla Creek
Core Scientific Auburn,Core Scientific,1571 W Samford Ave,36832,Auburn,Alabama,USA,32.60092892087178,-85.512853246259,031501100202,Upper Chewacla Creek
DC BLOX Huntsville,DC BLOX Inc.,333 Diamond Drive NW,35806,Huntsville,Alabama,USA,34.7118221,-86.6921541,060300020505,Lower Indian Creek
Simple Helix Data Center,Simple Helix,165 West Park Loop NW,35806,Huntsville,Alabama,USA,34.7454409,-86.691892,060300020505,Lower Indian Creek
Scipio Technologies Huntsville,Scipio Technologies,2104 West Ferry Way,35801,Huntsville,Alabama,USA,34.6998152,-86.5934619,060300020503,Lower Huntsville Spring Branch
Meta Huntsville Campus,Meta,5400 Prosperity Dr NW,35810,Huntsville,Alabama,USA,34.8441336,-86.628414,060300020305,Banyon Creek-Beaverdam Creek
Meta Huntsville - Building 4,Meta,5400 Prosperity Dr NW,35810,Huntsville,Alabama,USA,34.84676168620688,-86.62693735401233,060300020305,Banyon Creek-Beaverdam Creek
Meta Huntsville - Building 2,Meta,5400 Prosperity Dr NW,35810,Huntsville,Alabama,USA,34.84142156365949,-86.62888369760407,060300020305,Banyon Creek-Beaverdam Creek
Meta Huntsville - Building 3,Meta,5400 Prosperity Dr NW,35810,Huntsville,Alabama,USA,34.84304021471823,-86.628905149773,060300020305,Banyon Creek-Beaverdam Creek
Meta Huntsville - Building 5,Meta,5400 Prosperity Dr NW,35810,Huntsville,Alabama,USA,34.8479316562665,-86.62699324122481,060300020305,Banyon Creek-Beaverdam Creek
